city,state,latitude,longitude,hour,day_of_week,is_weekend,road_type,lanes,traffic_signal,weather,visibility,temperature,traffic_density,cause,accident_severity,vehicles_involved,casualties,is_peak_hour,risk_score
Delhi,Delhi,28.669714,77.005442,19,Saturday,1,urban,5,0,rain,medium,29,high,overspeeding,minor,1,1,1,0.6
Kolkata,West Bengal,22.562763,88.213127,18,Monday,0,highway,4,0,fog,low,34,high,drunk driving,fatal,1,1,1,1.0
Mumbai,Maharashtra,18.855018,72.829286,8,Wednesday,0,highway,5,0,rain,low,16,medium,overspeeding,major,2,0,1,0.6
Chandigarh,Punjab,30.752085,76.852619,17,Wednesday,0,rural,4,1,rain,medium,31,high,poor road,minor,5,0,1,0.6
Bangalore,Karnataka,13.189108,77.465783,5,Thursday,0,urban,6,0,rain,medium,22,high,drunk driving,minor,5,1,0,0.45
Chandigarh,Punjab,30.681802,76.817629,20,Friday,0,urban,2,0,fog,low,35,medium,distraction,major,1,0,0,0.45
Pune,Maharashtra,18.619214,73.906663,0,Sunday,1,urban,2,1,rain,medium,25,low,distraction,fatal,4,4,0,0.45
Chennai,Tamil Nadu,13.161054,80.206634,14,Thursday,0,highway,5,0,fog,low,21,low,distraction,minor,5,4,0,0.45
Hyderabad,Telangana,17.528452,78.544423,21,Sunday,1,urban,3,1,fog,low,27,medium,weather,major,1,1,0,0.45
Chennai,Tamil Nadu,12.971415,80.159095,14,Saturday,1,urban,6,1,clear,high,36,high,overspeeding,minor,2,0,0,0.3
Chandigarh,Punjab,30.741899,76.708377,11,Friday,0,rural,5,0,fog,low,25,low,weather,minor,5,4,0,0.45
Delhi,Delhi,28.762744,76.822047,2,Thursday,0,rural,3,0,rain,medium,39,low,drunk driving,minor,1,0,0,0.25
Chandigarh,Punjab,30.79165,76.723837,15,Thursday,0,rural,2,1,fog,low,23,medium,distraction,minor,3,3,0,0.45
Hyderabad,Telangana,17.497351,78.331998,15,Wednesday,0,urban,6,0,rain,medium,23,medium,weather,minor,5,3,0,0.25
Chandigarh,Punjab,30.735648,76.815798,6,Monday,0,highway,5,1,rain,low,38,low,weather,minor,5,4,0,0.45
Kolkata,West Bengal,22.406219,88.456628,4,Monday,0,urban,3,0,fog,low,25,low,overspeeding,minor,1,0,0,0.45
Chennai,Tamil Nadu,12.803783,80.148517,6,Friday,0,highway,1,0,clear,high,38,high,distraction,major,1,1,0,0.3
Delhi,Delhi,28.69468,77.049502,3,Wednesday,0,highway,6,0,fog,low,16,low,poor road,minor,3,3,0,0.45
Chennai,Tamil Nadu,13.190375,80.227212,20,Tuesday,0,rural,5,0,clear,high,29,low,overspeeding,fatal,2,2,0,0.3
Bangalore,Karnataka,13.143186,77.531499,16,Friday,0,urban,6,1,fog,low,40,high,overspeeding,fatal,4,4,0,0.85
Hyderabad,Telangana,17.535524,78.313607,21,Tuesday,0,urban,2,1,rain,medium,35,high,overspeeding,major,1,1,0,0.45
Chennai,Tamil Nadu,13.009488,80.194379,0,Saturday,1,urban,4,0,rain,low,16,medium,poor road,minor,5,3,0,0.45
Chennai,Tamil Nadu,13.178866,80.218139,19,Thursday,0,rural,5,1,rain,low,22,high,overspeeding,major,3,0,1,0.8
Bangalore,Karnataka,12.989707,77.449087,8,Saturday,1,urban,1,1,rain,medium,39,high,overspeeding,major,5,1,1,0.6
Hyderabad,Telangana,17.562304,78.231508,22,Monday,0,rural,4,0,fog,low,20,medium,poor road,minor,1,0,0,0.45
Delhi,Delhi,28.721994,77.15374,14,Tuesday,0,highway,3,0,clear,high,30,low,weather,minor,2,0,0,0.1
Chennai,Tamil Nadu,13.122016,80.112614,6,Monday,0,highway,2,0,clear,high,38,low,overspeeding,fatal,1,1,0,0.3
Pune,Maharashtra,18.547143,73.886598,7,Thursday,0,rural,6,1,rain,medium,22,high,distraction,minor,1,0,0,0.45
Chandigarh,Punjab,30.710337,76.828415,14,Sunday,1,urban,1,0,fog,low,37,medium,drunk driving,minor,4,1,0,0.45
Bangalore,Karnataka,12.872679,77.442766,18,Wednesday,0,highway,2,1,fog,low,18,medium,distraction,major,4,3,1,0.6
Kolkata,West Bengal,22.646284,88.318545,15,Thursday,0,highway,5,0,fog,low,28,medium,poor road,fatal,3,3,0,0.65
Pune,Maharashtra,18.599783,73.727325,11,Sunday,1,highway,3,0,fog,low,28,high,overspeeding,major,5,0,0,0.65
Delhi,Delhi,28.833732,76.952198,22,Tuesday,0,rural,4,0,rain,medium,21,low,weather,minor,3,3,0,0.25
Chandigarh,Punjab,30.782504,76.883533,23,Sunday,1,rural,1,0,clear,high,36,medium,drunk driving,minor,2,0,0,0.1
Kolkata,West Bengal,22.409995,88.392924,1,Thursday,0,highway,1,0,fog,low,35,medium,distraction,minor,4,3,0,0.45
Hyderabad,Telangana,17.401208,78.441411,14,Wednesday,0,rural,1,1,rain,medium,27,low,drunk driving,major,1,1,0,0.25
Pune,Maharashtra,18.57517,73.801083,16,Tuesday,0,highway,3,1,rain,low,16,low,distraction,major,2,2,0,0.45
Mumbai,Maharashtra,18.861217,72.980424,4,Thursday,0,highway,3,1,clear,high,21,high,poor road,minor,2,1,0,0.3
Delhi,Delhi,28.888349,77.260578,13,Friday,0,highway,1,0,clear,high,23,medium,drunk driving,minor,5,1,0,0.1
Mumbai,Maharashtra,19.263669,72.800362,1,Wednesday,0,rural,5,1,clear,high,32,low,weather,minor,2,0,0,0.1
Bangalore,Karnataka,12.802817,77.472978,21,Tuesday,0,urban,1,1,fog,low,36,high,weather,minor,3,2,0,0.65
Hyderabad,Telangana,17.455759,78.492223,19,Friday,0,rural,2,1,rain,low,26,medium,distraction,minor,2,0,1,0.6
Kolkata,West Bengal,22.438367,88.354254,18,Tuesday,0,highway,1,1,clear,high,39,high,weather,fatal,2,2,1,0.65
Hyderabad,Telangana,17.4558,78.465365,12,Friday,0,rural,5,1,rain,medium,24,medium,drunk driving,minor,5,1,0,0.25
Chennai,Tamil Nadu,13.092468,80.114716,13,Tuesday,0,urban,1,0,rain,medium,36,high,drunk driving,minor,3,3,0,0.45
Kolkata,West Bengal,22.428162,88.361637,23,Saturday,1,highway,5,1,fog,low,38,high,poor road,fatal,1,1,0,0.85
Chennai,Tamil Nadu,12.948346,80.231396,14,Friday,0,urban,2,0,clear,high,40,high,poor road,minor,4,0,0,0.3
Kolkata,West Bengal,22.430246,88.253454,3,Wednesday,0,urban,6,0,rain,low,40,low,distraction,fatal,3,3,0,0.65
Mumbai,Maharashtra,19.272559,72.887806,0,Wednesday,0,highway,2,1,clear,high,25,low,overspeeding,minor,2,2,0,0.1
Hyderabad,Telangana,17.456162,78.457648,10,Wednesday,0,urban,5,1,clear,high,33,high,distraction,major,5,1,1,0.45
Mumbai,Maharashtra,18.963941,72.784591,0,Saturday,1,highway,6,0,rain,medium,16,low,poor road,fatal,3,3,0,0.45
Mumbai,Maharashtra,19.032875,72.924544,16,Tuesday,0,rural,2,0,fog,low,34,low,poor road,major,4,0,0,0.45
Chandigarh,Punjab,30.61211,76.89413,6,Saturday,1,highway,5,0,fog,low,33,medium,drunk driving,minor,2,0,0,0.45
Chennai,Tamil Nadu,12.864064,80.143779,14,Friday,0,urban,1,0,fog,low,22,medium,poor road,fatal,4,4,0,0.65
Chandigarh,Punjab,30.627233,76.7075,1,Wednesday,0,urban,5,1,fog,low,24,low,drunk driving,minor,1,0,0,0.45
Kolkata,West Bengal,22.46101,88.388712,4,Sunday,1,rural,2,1,rain,low,22,low,overspeeding,major,4,3,0,0.45
Chandigarh,Punjab,30.767946,76.859833,2,Monday,0,rural,3,1,clear,high,30,low,overspeeding,major,4,0,0,0.1
Chandigarh,Punjab,30.706827,76.877347,4,Monday,0,urban,6,0,clear,high,39,low,drunk driving,major,1,0,0,0.1
Chandigarh,Punjab,30.732427,76.769346,0,Sunday,1,rural,3,1,clear,high,40,low,drunk driving,fatal,4,4,0,0.3
Hyderabad,Telangana,17.284166,78.466785,23,Saturday,1,highway,2,0,clear,high,23,high,weather,fatal,1,1,0,0.5
Chandigarh,Punjab,30.68478,76.877663,7,Friday,0,rural,6,1,rain,medium,28,medium,drunk driving,fatal,2,2,0,0.45
Delhi,Delhi,28.585008,76.819441,22,Saturday,1,urban,6,1,fog,low,15,medium,distraction,major,4,3,0,0.45
Pune,Maharashtra,18.63555,73.735289,1,Tuesday,0,highway,6,1,rain,medium,18,low,overspeeding,fatal,4,4,0,0.45
Hyderabad,Telangana,17.487027,78.391675,14,Wednesday,0,highway,5,0,fog,low,21,medium,poor road,minor,5,1,0,0.45
Kolkata,West Bengal,22.684922,88.218108,3,Sunday,1,rural,1,1,fog,low,16,low,weather,minor,1,0,0,0.45
Bangalore,Karnataka,12.890276,77.69833,8,Sunday,1,urban,2,0,fog,low,40,high,distraction,minor,2,1,1,0.8
Chandigarh,Punjab,30.696644,76.8319,10,Tuesday,0,urban,5,0,rain,low,17,high,drunk driving,major,2,2,1,0.8
Kolkata,West Bengal,22.614689,88.443959,7,Saturday,1,highway,6,0,fog,low,24,high,distraction,major,2,0,0,0.65
Chennai,Tamil Nadu,12.844141,80.188055,1,Friday,0,rural,4,1,rain,medium,37,low,distraction,major,2,2,0,0.25
Hyderabad,Telangana,17.267088,78.504065,4,Sunday,1,rural,2,1,clear,high,37,low,weather,minor,3,3,0,0.1
Delhi,Delhi,28.703733,77.083548,6,Saturday,1,urban,5,0,clear,high,20,medium,distraction,major,2,1,0,0.1
Chandigarh,Punjab,30.788928,76.756461,23,Friday,0,urban,5,1,clear,high,21,low,weather,minor,3,3,0,0.1
Hyderabad,Telangana,17.359658,78.346398,11,Monday,0,urban,4,1,fog,low,36,high,poor road,minor,1,1,0,0.65
Kolkata,West Bengal,22.514579,88.252914,11,Friday,0,highway,4,0,fog,low,23,low,overspeeding,fatal,3,3,0,0.65
Hyderabad,Telangana,17.446206,78.359153,7,Sunday,1,urban,4,1,fog,low,36,medium,weather,major,5,4,0,0.45
Chandigarh,Punjab,30.74412,76.816785,15,Tuesday,0,highway,4,0,fog,low,20,medium,distraction,major,5,1,0,0.45
Pune,Maharashtra,18.640716,73.709495,16,Tuesday,0,rural,1,1,fog,low,25,high,distraction,major,4,1,0,0.65
Chandigarh,Punjab,30.683173,76.729081,7,Tuesday,0,highway,3,0,rain,low,16,medium,drunk driving,minor,1,1,0,0.45
Mumbai,Maharashtra,18.943542,72.765957,1,Monday,0,rural,6,1,rain,medium,29,low,drunk driving,major,2,1,0,0.25
Hyderabad,Telangana,17.431268,78.391081,4,Friday,0,rural,5,0,fog,low,29,low,distraction,major,4,2,0,0.45
Hyderabad,Telangana,17.522448,78.327312,14,Wednesday,0,highway,1,1,fog,low,37,low,poor road,major,3,0,0,0.45
Chandigarh,Punjab,30.663843,76.785348,11,Friday,0,rural,6,1,rain,low,22,low,overspeeding,minor,3,1,0,0.45
Delhi,Delhi,28.781646,76.949274,10,Sunday,1,highway,1,1,clear,high,36,high,distraction,minor,4,3,1,0.45
Kolkata,West Bengal,22.61092,88.251729,22,Wednesday,0,highway,5,1,fog,low,17,high,drunk driving,minor,4,1,0,0.65
Chennai,Tamil Nadu,13.165116,80.162989,15,Monday,0,rural,1,0,fog,low,34,low,drunk driving,fatal,2,2,0,0.65
Mumbai,Maharashtra,19.076912,72.947582,1,Wednesday,0,rural,3,0,fog,low,37,low,drunk driving,minor,2,1,0,0.45
Pune,Maharashtra,18.609065,73.729964,1,Tuesday,0,highway,6,1,rain,low,33,low,distraction,minor,1,1,0,0.45
Chennai,Tamil Nadu,12.904797,80.254944,8,Thursday,0,highway,3,1,clear,high,37,high,drunk driving,minor,5,0,1,0.45
Pune,Maharashtra,18.646435,73.711886,20,Wednesday,0,urban,6,1,fog,low,37,high,overspeeding,minor,3,0,0,0.65
Chandigarh,Punjab,30.71723,76.744725,16,Wednesday,0,rural,4,1,clear,high,26,medium,overspeeding,minor,2,0,0,0.1
Chennai,Tamil Nadu,12.987825,80.124032,1,Thursday,0,urban,4,0,rain,low,39,low,weather,major,3,3,0,0.45
Pune,Maharashtra,18.645989,73.8413,16,Monday,0,rural,5,0,rain,low,19,low,poor road,major,3,1,0,0.45
Bangalore,Karnataka,12.890989,77.443506,5,Wednesday,0,urban,1,1,rain,medium,34,low,overspeeding,minor,4,0,0,0.25
Chandigarh,Punjab,30.681101,76.763894,20,Sunday,1,urban,6,0,clear,high,21,high,overspeeding,minor,4,2,0,0.3
Chandigarh,Punjab,30.71006,76.775592,8,Friday,0,urban,1,1,clear,high,29,medium,poor road,major,3,1,1,0.25
Mumbai,Maharashtra,19.274016,72.768801,23,Wednesday,0,urban,1,0,rain,medium,36,high,distraction,minor,5,1,0,0.45
Chandigarh,Punjab,30.662227,76.833007,14,Wednesday,0,urban,2,0,fog,low,38,medium,weather,major,3,2,0,0.45
Bangalore,Karnataka,12.852779,77.597372,14,Monday,0,rural,6,0,rain,medium,16,low,overspeeding,minor,4,4,0,0.25
Delhi,Delhi,28.653833,76.840888,13,Tuesday,0,urban,6,0,rain,medium,23,medium,poor road,minor,1,0,0,0.25
Kolkata,West Bengal,22.42237,88.408068,13,Wednesday,0,urban,5,1,rain,medium,22,low,distraction,minor,1,1,0,0.25
Pune,Maharashtra,18.567735,73.833141,20,Friday,0,rural,4,1,rain,low,24,low,overspeeding,major,1,1,0,0.45
Mumbai,Maharashtra,19.270859,72.711876,4,Friday,0,urban,4,1,fog,low,33,low,distraction,minor,2,1,0,0.45
Bangalore,Karnataka,13.034208,77.520438,21,Thursday,0,highway,3,1,fog,low,39,medium,weather,major,3,2,0,0.45
Bangalore,Karnataka,12.944026,77.418823,13,Wednesday,0,highway,6,0,rain,low,19,medium,distraction,major,3,1,0,0.45
Bangalore,Karnataka,13.11136,77.563966,10,Saturday,1,urban,1,1,rain,low,25,high,poor road,major,3,2,1,0.8
Mumbai,Maharashtra,19.254438,72.798585,3,Tuesday,0,urban,6,0,rain,low,38,low,overspeeding,major,3,1,0,0.45
Kolkata,West Bengal,22.481887,88.359367,15,Monday,0,rural,6,1,fog,low,32,low,poor road,major,1,1,0,0.45
Chandigarh,Punjab,30.718701,76.795983,6,Sunday,1,urban,2,1,clear,high,30,medium,drunk driving,minor,4,4,0,0.1
Hyderabad,Telangana,17.308984,78.554004,22,Sunday,1,urban,6,1,fog,low,32,medium,drunk driving,minor,2,2,0,0.45
Hyderabad,Telangana,17.221255,78.327104,17,Sunday,1,urban,5,0,clear,high,33,medium,weather,major,5,3,1,0.25
Kolkata,West Bengal,22.57082,88.444098,22,Saturday,1,urban,3,0,rain,low,32,high,overspeeding,minor,2,2,0,0.65
Chennai,Tamil Nadu,12.956672,80.252997,22,Sunday,1,urban,3,1,clear,high,21,medium,poor road,minor,4,1,0,0.1
Kolkata,West Bengal,22.666585,88.46335,5,Monday,0,highway,5,1,fog,low,39,low,weather,major,3,2,0,0.45
Mumbai,Maharashtra,19.063486,72.784623,6,Sunday,1,highway,1,0,rain,medium,22,low,distraction,fatal,3,3,0,0.45
Pune,Maharashtra,18.510248,73.740252,9,Wednesday,0,highway,6,1,fog,low,19,medium,distraction,minor,2,0,1,0.6
Pune,Maharashtra,18.426744,73.766199,1,Thursday,0,highway,6,0,fog,low,37,medium,drunk driving,minor,3,2,0,0.45
Chennai,Tamil Nadu,13.140114,80.294483,2,Saturday,1,rural,6,1,clear,high,35,low,drunk driving,minor,2,1,0,0.1
Hyderabad,Telangana,17.288519,78.541259,23,Thursday,0,rural,6,0,rain,medium,35,medium,weather,minor,5,2,0,0.25
Chennai,Tamil Nadu,13.150922,80.282123,22,Tuesday,0,rural,2,0,rain,low,23,high,drunk driving,major,2,0,0,0.65
Kolkata,West Bengal,22.652502,88.306697,3,Tuesday,0,rural,2,1,clear,high,35,low,poor road,major,1,1,0,0.1
Bangalore,Karnataka,13.055809,77.606913,16,Friday,0,urban,5,0,clear,high,35,medium,drunk driving,major,4,0,0,0.1
Delhi,Delhi,28.788745,76.922828,4,Wednesday,0,highway,3,0,clear,high,34,low,distraction,minor,2,0,0,0.1
Bangalore,Karnataka,13.091983,77.713195,16,Wednesday,0,highway,5,0,rain,low,17,low,weather,minor,5,5,0,0.45
Pune,Maharashtra,18.554231,73.902148,15,Thursday,0,rural,6,1,fog,low,20,low,distraction,minor,4,1,0,0.45
Chandigarh,Punjab,30.660112,76.884854,19,Tuesday,0,rural,6,0,fog,low,30,high,distraction,minor,3,0,1,0.8
Bangalore,Karnataka,13.097794,77.577795,21,Monday,0,highway,6,1,clear,high,32,low,poor road,fatal,3,3,0,0.3
Chennai,Tamil Nadu,12.906555,80.141124,1,Sunday,1,rural,1,0,fog,low,38,high,weather,major,4,1,0,0.65
Chennai,Tamil Nadu,12.997541,80.234468,10,Saturday,1,rural,6,0,fog,low,21,high,poor road,major,2,1,1,0.8
Chennai,Tamil Nadu,12.917935,80.266571,12,Thursday,0,urban,1,1,rain,medium,27,low,weather,major,3,1,0,0.25
Bangalore,Karnataka,13.056762,77.491461,21,Thursday,0,rural,6,0,fog,low,30,low,poor road,major,1,1,0,0.45
Hyderabad,Telangana,17.371275,78.306735,20,Sunday,1,rural,4,1,rain,low,20,high,overspeeding,minor,4,1,0,0.65
Hyderabad,Telangana,17.33632,78.495993,4,Tuesday,0,rural,3,0,fog,low,27,high,poor road,fatal,3,3,0,0.85
Chandigarh,Punjab,30.775416,76.863202,5,Monday,0,rural,6,0,clear,high,27,medium,distraction,major,4,0,0,0.1
Pune,Maharashtra,18.606586,73.757466,6,Monday,0,urban,4,1,clear,high,23,medium,drunk driving,minor,5,4,0,0.1
Chennai,Tamil Nadu,13.072522,80.244514,1,Friday,0,rural,4,1,rain,medium,34,low,poor road,minor,3,3,0,0.25
Delhi,Delhi,28.722797,77.210595,16,Monday,0,rural,6,1,clear,high,16,high,distraction,fatal,5,5,0,0.5
Bangalore,Karnataka,13.00604,77.717864,1,Friday,0,rural,6,0,fog,low,32,low,poor road,fatal,1,1,0,0.65
Hyderabad,Telangana,17.290146,78.596056,15,Thursday,0,highway,4,1,rain,low,40,low,weather,major,3,1,0,0.45
Mumbai,Maharashtra,18.911728,72.729027,6,Monday,0,highway,6,0,fog,low,18,high,weather,major,4,4,0,0.65
Hyderabad,Telangana,17.333965,78.396699,17,Wednesday,0,highway,3,0,fog,low,15,high,poor road,minor,4,2,1,0.8
Kolkata,West Bengal,22.662295,88.45418,10,Friday,0,rural,1,1,clear,high,38,high,overspeeding,minor,5,2,1,0.45
Mumbai,Maharashtra,18.924778,72.966205,8,Friday,0,rural,4,1,fog,low,19,high,overspeeding,major,2,2,1,0.8
Bangalore,Karnataka,12.912287,77.779228,11,Monday,0,urban,1,1,fog,low,30,high,overspeeding,major,3,2,0,0.65
Hyderabad,Telangana,17.236065,78.306941,6,Wednesday,0,rural,3,1,fog,low,23,medium,weather,fatal,1,1,0,0.65
Kolkata,West Bengal,22.459466,88.404622,1,Thursday,0,rural,4,0,clear,high,15,low,poor road,fatal,4,4,0,0.3
Kolkata,West Bengal,22.587226,88.226496,19,Sunday,1,highway,2,0,rain,low,34,medium,overspeeding,major,5,0,1,0.6
Delhi,Delhi,28.436667,76.945849,1,Sunday,1,rural,1,1,clear,high,15,medium,drunk driving,fatal,3,3,0,0.3
Chandigarh,Punjab,30.75933,76.794818,14,Thursday,0,rural,3,0,clear,high,22,medium,weather,minor,3,1,0,0.1
Chennai,Tamil Nadu,12.869027,80.170917,0,Wednesday,0,highway,5,0,clear,high,30,medium,distraction,minor,1,1,0,0.1
Pune,Maharashtra,18.57106,73.746279,19,Tuesday,0,urban,1,0,fog,low,28,high,weather,minor,1,0,1,0.8
Chennai,Tamil Nadu,13.144258,80.115096,0,Tuesday,0,rural,4,0,rain,medium,21,low,poor road,minor,1,1,0,0.25
Delhi,Delhi,28.516095,76.887995,2,Friday,0,urban,6,0,clear,high,28,low,overspeeding,major,5,0,0,0.1
Kolkata,West Bengal,22.512722,88.413271,21,Friday,0,rural,5,0,fog,low,38,medium,distraction,minor,2,0,0,0.45
Bangalore,Karnataka,12.94066,77.794878,15,Tuesday,0,urban,5,0,fog,low,37,low,overspeeding,minor,1,0,0,0.45
Chandigarh,Punjab,30.742669,76.855245,1,Tuesday,0,rural,4,1,rain,low,39,medium,weather,major,4,0,0,0.45
Pune,Maharashtra,18.528029,73.973901,4,Thursday,0,highway,4,1,clear,high,19,high,overspeeding,major,2,1,0,0.3
Pune,Maharashtra,18.435201,73.724089,12,Thursday,0,urban,5,1,clear,high,38,medium,distraction,major,2,1,0,0.1
Mumbai,Maharashtra,19.297329,72.961176,11,Tuesday,0,rural,6,0,clear,high,38,high,poor road,major,1,1,0,0.3
Delhi,Delhi,28.531331,77.279245,3,Wednesday,0,urban,4,1,rain,medium,15,low,drunk driving,minor,2,1,0,0.25
Kolkata,West Bengal,22.462233,88.240621,5,Saturday,1,urban,6,0,fog,low,39,low,poor road,minor,3,2,0,0.45
Hyderabad,Telangana,17.247064,78.272216,21,Thursday,0,rural,2,1,fog,low,40,high,overspeeding,major,1,1,0,0.65
Chandigarh,Punjab,30.764567,76.739495,20,Wednesday,0,rural,3,1,rain,low,32,medium,overspeeding,fatal,4,4,0,0.65
Pune,Maharashtra,18.403559,73.745368,6,Friday,0,urban,2,0,clear,high,22,high,drunk driving,fatal,5,5,0,0.5
Kolkata,West Bengal,22.527019,88.410585,17,Sunday,1,rural,4,0,clear,high,28,high,drunk driving,major,2,1,1,0.45
Hyderabad,Telangana,17.525655,78.53635,21,Thursday,0,rural,1,1,fog,low,19,high,overspeeding,minor,4,4,0,0.65
Kolkata,West Bengal,22.634417,88.47518,11,Thursday,0,urban,1,1,fog,low,28,low,distraction,major,3,2,0,0.45
Chandigarh,Punjab,30.627647,76.765101,21,Friday,0,rural,2,1,fog,low,38,medium,overspeeding,fatal,1,1,0,0.65
Kolkata,West Bengal,22.59886,88.327017,11,Friday,0,urban,5,1,clear,high,25,low,weather,minor,3,2,0,0.1
Mumbai,Maharashtra,18.849578,72.870367,17,Friday,0,highway,3,1,fog,low,19,medium,drunk driving,minor,3,3,1,0.6
Chandigarh,Punjab,30.731355,76.731308,21,Wednesday,0,highway,6,0,rain,low,40,medium,distraction,minor,1,0,0,0.55
Chennai,Tamil Nadu,13.160576,80.10095,19,Saturday,1,urban,6,0,clear,high,37,high,weather,major,1,1,1,0.45
Chennai,Tamil Nadu,13.125641,80.270732,6,Friday,0,highway,3,0,fog,low,28,medium,distraction,major,4,3,0,0.45
Chandigarh,Punjab,30.759297,76.769453,3,Sunday,1,highway,4,0,fog,low,19,low,overspeeding,fatal,3,3,0,0.65
Chandigarh,Punjab,30.753063,76.865124,20,Friday,0,highway,5,0,rain,low,19,low,poor road,minor,5,0,0,0.45
Kolkata,West Bengal,22.600604,88.493144,15,Sunday,1,highway,5,0,clear,high,20,high,poor road,minor,4,2,0,0.3
Chandigarh,Punjab,30.698188,76.826923,10,Saturday,1,highway,2,0,fog,low,28,medium,distraction,major,1,0,1,0.6
Chennai,Tamil Nadu,12.900436,80.256927,12,Monday,0,rural,2,1,fog,low,29,medium,drunk driving,minor,5,2,0,0.45
Bangalore,Karnataka,12.973737,77.609044,16,Saturday,1,highway,6,0,fog,low,38,medium,overspeeding,minor,3,0,0,0.45
Bangalore,Karnataka,12.990476,77.552686,13,Saturday,1,highway,2,0,fog,low,39,medium,weather,minor,5,5,0,0.45
Kolkata,West Bengal,22.457501,88.440307,23,Saturday,1,highway,2,1,fog,low,15,low,drunk driving,fatal,4,4,0,0.65
Chennai,Tamil Nadu,12.858275,80.142778,11,Wednesday,0,rural,3,1,clear,high,20,high,distraction,fatal,2,2,0,0.5
Kolkata,West Bengal,22.541747,88.419612,2,Monday,0,urban,4,0,fog,low,40,high,drunk driving,minor,1,0,0,0.65
Chandigarh,Punjab,30.771534,76.795632,3,Thursday,0,highway,2,1,fog,low,39,low,poor road,fatal,1,1,0,0.65
Mumbai,Maharashtra,18.966334,72.711272,2,Thursday,0,urban,1,1,fog,low,37,low,distraction,minor,1,1,0,0.45
Delhi,Delhi,28.525435,77.15074,12,Sunday,1,urban,1,0,clear,high,27,medium,weather,minor,5,1,0,0.1
Kolkata,West Bengal,22.536864,88.450788,0,Friday,0,urban,1,1,clear,high,32,low,poor road,minor,5,2,0,0.1
Delhi,Delhi,28.541868,77.08724,14,Saturday,1,urban,1,1,rain,low,21,high,distraction,minor,3,1,0,0.65
Delhi,Delhi,28.533992,76.854335,18,Tuesday,0,rural,3,1,rain,medium,22,high,poor road,major,5,3,1,0.6
Chennai,Tamil Nadu,12.813662,80.121273,0,Thursday,0,highway,3,1,fog,low,23,low,drunk driving,major,1,1,0,0.45
Kolkata,West Bengal,22.592501,88.447626,7,Monday,0,urban,2,0,fog,low,26,medium,overspeeding,major,1,1,0,0.45
Chennai,Tamil Nadu,12.830269,80.185378,13,Tuesday,0,rural,6,1,fog,low,32,medium,overspeeding,minor,5,5,0,0.45
Delhi,Delhi,28.703447,77.293732,15,Saturday,1,rural,4,0,rain,low,39,low,drunk driving,minor,3,0,0,0.45
Kolkata,West Bengal,22.439662,88.386289,13,Tuesday,0,highway,3,1,rain,low,30,low,overspeeding,minor,3,0,0,0.45
Mumbai,Maharashtra,18.961366,72.950498,1,Saturday,1,rural,4,1,rain,low,15,low,distraction,minor,2,2,0,0.45
Chandigarh,Punjab,30.744205,76.865539,23,Thursday,0,highway,3,1,clear,high,23,medium,distraction,major,1,0,0,0.1
Chennai,Tamil Nadu,13.176686,80.167788,19,Saturday,1,rural,5,1,clear,high,33,high,drunk driving,minor,2,0,1,0.45
Chandigarh,Punjab,30.605887,76.745443,15,Thursday,0,highway,1,0,fog,low,21,medium,overspeeding,minor,4,3,0,0.45
Delhi,Delhi,28.47824,76.854034,2,Sunday,1,highway,2,0,clear,high,25,low,drunk driving,minor,4,2,0,0.1
Bangalore,Karnataka,13.022967,77.451662,17,Saturday,1,rural,5,1,fog,low,32,high,weather,major,1,1,1,0.8
Kolkata,West Bengal,22.577252,88.33137,18,Tuesday,0,rural,6,1,rain,medium,32,medium,distraction,major,4,0,1,0.4
Delhi,Delhi,28.787786,77.262303,7,Saturday,1,highway,1,1,fog,low,22,low,poor road,minor,1,0,0,0.45
Chennai,Tamil Nadu,12.872029,80.134123,0,Saturday,1,urban,5,0,clear,high,30,low,weather,minor,1,0,0,0.1
Chennai,Tamil Nadu,13.146157,80.216694,9,Monday,0,rural,2,0,rain,medium,23,high,overspeeding,fatal,1,1,1,0.8
Chennai,Tamil Nadu,12.816074,80.262722,3,Saturday,1,rural,2,0,rain,low,21,low,drunk driving,major,4,3,0,0.45
Hyderabad,Telangana,17.311839,78.529839,22,Tuesday,0,urban,6,1,clear,high,16,low,poor road,minor,1,0,0,0.1
Pune,Maharashtra,18.575185,73.946037,18,Saturday,1,urban,6,0,clear,high,25,high,poor road,minor,1,1,1,0.45
Kolkata,West Bengal,22.559082,88.404331,21,Thursday,0,urban,6,1,clear,high,35,medium,drunk driving,major,5,2,0,0.1
Chandigarh,Punjab,30.653711,76.702976,10,Sunday,1,rural,2,1,clear,high,38,high,drunk driving,minor,1,1,1,0.45
Mumbai,Maharashtra,19.024531,72.791252,23,Friday,0,rural,5,1,fog,low,28,medium,drunk driving,minor,1,0,0,0.45
Chandigarh,Punjab,30.643854,76.755245,3,Saturday,1,rural,3,0,rain,low,30,low,poor road,minor,1,0,0,0.45
Hyderabad,Telangana,17.484044,78.489467,6,Saturday,1,highway,2,1,fog,low,22,medium,weather,minor,2,2,0,0.45
Delhi,Delhi,28.728297,76.893088,20,Tuesday,0,rural,1,0,rain,medium,28,low,weather,major,2,2,0,0.25
Chennai,Tamil Nadu,13.035809,80.170197,9,Tuesday,0,highway,5,0,rain,medium,29,high,overspeeding,fatal,2,2,1,0.8
